"Date","Site","City/Town","Expected Substance","Fentanyl Test Strip","Benzo Test Strip","FTIR Spectrometer"
"2020-11-01","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-11-01","GYDT - Mail-in","Mail In","Alprazolam","False","True","['Microcrystalline Cellulose', 'Uncertain Match', 'Uncertain Oil']"
"2020-11-01","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-11-01","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl', 'Levamisole']"
"2020-11-01","GYDT - Walk-in","Vancouver","5-MeO-DMT","False","N/A","['Uncertain Match', '5-MeO-DMT']"
"2020-11-01","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-11-01","GYDT - Walk-in","Vancouver","Fentanyl","True","True","['Acetaminophen', 'Caffeine', 'Uncertain Match']"
"2020-11-01","GYDT - Walk-in","Vancouver","Crack Cocaine","False","N/A","['Cocaine Base', 'Phenacetin']"
"2020-11-01","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-11-01","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-11-01","GYDT - Walk-in","Vancouver","Fentanyl","True","True","['Acetaminophen', 'Caffeine', 'Uncertain Match']"
"2020-11-01","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-11-01","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-11-01","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-11-01","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
"2020-11-01","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['Dimethyl Sulfone', 'MDA']"
"2020-11-01","GYDT - Walk-in","Vancouver","Crack Cocaine","False","N/A","['Cocaine Base', 'Talc']"
"2020-11-01","GYDT - Walk-in","Vancouver","Crack Cocaine","False","N/A","['Cocaine Base']"
"2020-11-01","GYDT - Mail-in","Mail In","Ketamine","False","N/A","['Ketamine HCl']"
"2020-10-31","GYDT - Walk-in","Vancouver","Cocaine","False","N/A","['Cocaine HCl', 'Uncertain Match']"
"2020-10-31","GYDT - Walk-in","Vancouver","MDMA","False","N/A","['MDMA']"
